epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28472,1.7842,1.54572,1.30246,0.63158,0.45349,0.52392,0.23591,1.90191,1.77029,1.41963,0.0011882,0.0011882,0.0011882
43,29183.7,1.79987,1.55016,1.31527,0.65603,0.54651,0.57202,0.25566,1.89454,1.64043,1.42357,0.0011684,0.0011684,0.0011684
44,29878.7,1.81118,1.49503,1.29717,0.71387,0.48256,0.56285,0.25909,1.91144,1.66067,1.40609,0.0011486,0.0011486,0.0011486
45,30568.9,1.7864,1.51951,1.30172,0.60155,0.54942,0.55048,0.25019,1.9333,1.67773,1.42605,0.0011288,0.0011288,0.0011288
46,31258.9,1.74232,1.46223,1.27842,0.67262,0.52326,0.54726,0.23808,1.8881,1.74072,1.38618,0.001109,0.001109,0.001109
47,31943.9,1.77683,1.45801,1.29293,0.69054,0.50581,0.57681,0.25857,1.91819,1.65203,1.40397,0.0010892,0.0010892,0.0010892
48,32640.4,1.76444,1.45518,1.27196,0.67569,0.55523,0.58973,0.27187,1.90782,1.63154,1.39678,0.0010694,0.0010694,0.0010694
49,33322.2,1.76419,1.44174,1.28724,0.69946,0.48837,0.55801,0.23615,2.00589,1.69266,1.47902,0.0010496,0.0010496,0.0010496
50,34012.9,1.74125,1.44102,1.26983,0.71892,0.50581,0.56549,0.25771,1.89035,1.62812,1.40792,0.0010298,0.0010298,0.0010298
51,34701.4,1.75439,1.4396,1.27276,0.67573,0.50872,0.56826,0.25483,1.92591,1.68521,1.39729,0.00101,0.00101,0.00101
52,35388.4,1.7491,1.43911,1.26244,0.68613,0.50837,0.56211,0.256,1.93152,1.66812,1.42175,0.0009902,0.0009902,0.0009902
53,36077.1,1.76695,1.44453,1.27529,0.63286,0.48606,0.52779,0.23958,1.88599,1.7158,1.40085,0.0009704,0.0009704,0.0009704
54,36763.1,1.718,1.41194,1.26962,0.69298,0.4921,0.57276,0.24545,1.939,1.68608,1.43792,0.0009506,0.0009506,0.0009506
55,37450.5,1.72053,1.41907,1.25004,0.65001,0.5436,0.58362,0.24831,1.92538,1.64103,1.44405,0.0009308,0.0009308,0.0009308
56,38139,1.74483,1.37291,1.25677,0.67364,0.48003,0.56377,0.2508,1.9261,1.70677,1.41422,0.000911,0.000911,0.000911
57,38829.8,1.734,1.3924,1.26368,0.63087,0.52326,0.57498,0.2539,1.95824,1.67934,1.43339,0.0008912,0.0008912,0.0008912
58,39521.5,1.71703,1.39791,1.2503,0.64004,0.50654,0.5315,0.24074,1.92693,1.67926,1.40902,0.0008714,0.0008714,0.0008714
59,40210.5,1.69453,1.35325,1.25081,0.72625,0.46512,0.55446,0.23668,1.96609,1.69387,1.44797,0.0008516,0.0008516,0.0008516
60,40902.9,1.70512,1.36038,1.24873,0.61687,0.55233,0.54685,0.24429,1.97666,1.70499,1.43149,0.0008318,0.0008318,0.0008318
61,41591.1,1.71585,1.33254,1.27267,0.67894,0.51163,0.55322,0.24425,1.98982,1.71608,1.46669,0.000812,0.000812,0.000812
62,42280,1.69396,1.34835,1.25868,0.71391,0.50291,0.55147,0.25192,1.93382,1.67786,1.41034,0.0007922,0.0007922,0.0007922
63,42973.7,1.69638,1.32955,1.2568,0.67681,0.51745,0.53817,0.23005,1.99807,1.70637,1.46205,0.0007724,0.0007724,0.0007724
64,43665.5,1.68887,1.30048,1.24622,0.70755,0.53198,0.59097,0.25873,1.98239,1.57805,1.4734,0.0007526,0.0007526,0.0007526
65,44370.5,1.66883,1.32359,1.24436,0.70061,0.4898,0.56126,0.24324,2.00833,1.67305,1.47937,0.0007328,0.0007328,0.0007328
66,45060.9,1.66402,1.31394,1.23093,0.69916,0.51453,0.56658,0.24844,1.98729,1.70025,1.4468,0.000713,0.000713,0.000713
67,45750.4,1.67416,1.27428,1.23611,0.72089,0.48256,0.56442,0.2351,2.02602,1.69579,1.49093,0.0006932,0.0006932,0.0006932
68,46448,1.6635,1.26402,1.2462,0.72635,0.48547,0.57258,0.23913,2.01353,1.64367,1.47671,0.0006734,0.0006734,0.0006734
69,47137,1.66671,1.27882,1.24402,0.69182,0.5,0.56713,0.25145,1.96931,1.67607,1.46001,0.0006536,0.0006536,0.0006536
70,47830.2,1.62834,1.25919,1.22409,0.6617,0.50035,0.54923,0.24326,1.98605,1.64994,1.46358,0.0006338,0.0006338,0.0006338
71,48521,1.6589,1.2461,1.23452,0.71017,0.4564,0.54643,0.23692,2.01276,1.70993,1.47597,0.000614,0.000614,0.000614
72,49209.4,1.61782,1.23278,1.22121,0.69362,0.51453,0.55525,0.24243,1.96917,1.6855,1.44723,0.0005942,0.0005942,0.0005942
73,49902.3,1.62647,1.21811,1.21317,0.70746,0.4921,0.54886,0.24391,1.98725,1.71024,1.46751,0.0005744,0.0005744,0.0005744
74,50598.6,1.60646,1.19615,1.21485,0.6751,0.52035,0.56091,0.23921,2.03761,1.67328,1.50363,0.0005546,0.0005546,0.0005546
75,51300.5,1.5884,1.17883,1.20419,0.64597,0.54942,0.57951,0.24914,1.99641,1.67693,1.47614,0.0005348,0.0005348,0.0005348
76,51995.1,1.59791,1.20671,1.21667,0.73853,0.48837,0.56311,0.23833,1.99583,1.70131,1.46275,0.000515,0.000515,0.000515
77,52703.5,1.59482,1.17488,1.1992,0.69498,0.51163,0.55682,0.23391,2.02292,1.72819,1.46823,0.0004952,0.0004952,0.0004952
78,53407.6,1.58814,1.17169,1.20998,0.66383,0.53386,0.57208,0.23978,2.03764,1.69271,1.50008,0.0004754,0.0004754,0.0004754
79,54104.9,1.55879,1.15802,1.19095,0.70588,0.49534,0.56455,0.24368,2.03155,1.67924,1.50879,0.0004556,0.0004556,0.0004556
80,54799.1,1.6151,1.16767,1.2171,0.72221,0.48837,0.57311,0.25621,2.01409,1.65722,1.48469,0.0004358,0.0004358,0.0004358
81,55487.5,1.58112,1.15206,1.19737,0.71994,0.50872,0.56304,0.24515,2.01741,1.74189,1.4969,0.000416,0.000416,0.000416
82,56180.3,1.56603,1.14348,1.18951,0.68277,0.53779,0.57293,0.24924,2.00382,1.71361,1.47533,0.0003962,0.0003962,0.0003962
83,56871.1,1.56523,1.11579,1.1893,0.74338,0.49685,0.57679,0.2463,2.01,1.72309,1.49335,0.0003764,0.0003764,0.0003764
84,57565.6,1.52829,1.09599,1.18812,0.74231,0.4857,0.56503,0.2453,2.05119,1.70177,1.52544,0.0003566,0.0003566,0.0003566
85,58256.4,1.52957,1.10143,1.18145,0.6889,0.53488,0.57095,0.23257,2.08265,1.71529,1.53139,0.0003368,0.0003368,0.0003368
86,58943.9,1.53443,1.07384,1.18379,0.6897,0.49752,0.54789,0.23913,2.06133,1.73344,1.51711,0.000317,0.000317,0.000317
87,59667.5,1.53971,1.05509,1.17827,0.70013,0.49709,0.56298,0.24249,2.04817,1.71353,1.51541,0.0002972,0.0002972,0.0002972
88,60368.4,1.49119,1.04236,1.16582,0.70998,0.51949,0.57469,0.2405,2.05147,1.69319,1.53342,0.0002774,0.0002774,0.0002774
89,61056.1,1.51607,1.05764,1.1687,0.66865,0.55523,0.56944,0.23368,2.08488,1.70098,1.56308,0.0002576,0.0002576,0.0002576
90,61746.5,1.50006,1.05367,1.1676,0.74461,0.49709,0.56841,0.22945,2.09136,1.68213,1.56045,0.0002378,0.0002378,0.0002378
91,62432.7,1.47419,1.02773,1.20463,0.68598,0.50581,0.55646,0.23457,2.07492,1.72482,1.53761,0.000218,0.000218,0.000218
92,63114.6,1.44231,0.95977,1.19032,0.64075,0.50581,0.5489,0.23346,2.05919,1.73014,1.52743,0.0001982,0.0001982,0.0001982
93,63795.4,1.43901,0.94795,1.20062,0.64103,0.54508,0.56648,0.23209,2.08096,1.71149,1.53989,0.0001784,0.0001784,0.0001784
94,64478.7,1.41186,0.94046,1.17635,0.71175,0.48547,0.55006,0.2251,2.09826,1.70723,1.5504,0.0001586,0.0001586,0.0001586
95,65156.8,1.41136,0.93501,1.17414,0.72132,0.48907,0.54274,0.22415,2.11651,1.72443,1.55637,0.0001388,0.0001388,0.0001388
96,65836.5,1.41617,0.93156,1.18953,0.70315,0.49709,0.57077,0.23929,2.07519,1.70641,1.55586,0.000119,0.000119,0.000119
97,66517.2,1.40455,0.90065,1.16657,0.66774,0.51744,0.55666,0.23183,2.0923,1.73608,1.55511,9.92e-05,9.92e-05,9.92e-05
98,67200.4,1.39065,0.92065,1.1796,0.68181,0.51077,0.55572,0.23669,2.08404,1.6963,1.55094,7.94e-05,7.94e-05,7.94e-05
99,67886.9,1.40899,0.90752,1.18498,0.68477,0.52035,0.56393,0.23595,2.09573,1.68474,1.56,5.96e-05,5.96e-05,5.96e-05
100,68567.8,1.37198,0.89674,1.16972,0.68408,0.51617,0.555,0.23161,2.09722,1.70219,1.55906,3.98e-05,3.98e-05,3.98e-05
