epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,33583.2,1.90673,1.69814,1.41292,0.49136,0.26117,0.29076,0.13392,2.18115,2.59626,1.64815,0.005743,0.005743,0.005743
45,34317.6,1.89614,1.74177,1.42668,0.53246,0.42733,0.45565,0.198,1.97763,1.85155,1.5465,0.005644,0.005644,0.005644
46,35060.6,1.86567,1.66456,1.40507,0.45181,0.3546,0.36363,0.15723,2.03849,2.08558,1.55306,0.005545,0.005545,0.005545
47,35792.2,1.86244,1.65666,1.40526,0.6334,0.49419,0.50859,0.21549,1.94137,1.77215,1.50787,0.005446,0.005446,0.005446
48,36520.8,1.87222,1.69519,1.40244,0.64106,0.44186,0.49926,0.22069,1.99878,1.79166,1.55638,0.005347,0.005347,0.005347
49,37246.9,1.849,1.6685,1.40318,0.58998,0.47093,0.49301,0.20103,1.98583,1.77278,1.53536,0.005248,0.005248,0.005248
50,37977.7,1.90371,1.685,1.4045,0.62309,0.46802,0.52112,0.24146,1.92042,1.74534,1.50663,0.005149,0.005149,0.005149
51,38710,1.88681,1.67691,1.40588,0.41361,0.34884,0.33331,0.14249,2.1035,2.25557,1.55592,0.00505,0.00505,0.00505
52,39440.1,1.89104,1.69402,1.39732,0.55024,0.40407,0.43597,0.19153,1.98238,2.04844,1.52194,0.004951,0.004951,0.004951
53,40168.4,1.86582,1.6808,1.39533,0.58877,0.42151,0.47127,0.20927,1.97642,1.84434,1.52709,0.004852,0.004852,0.004852
54,40904.3,1.84758,1.63212,1.39303,0.63818,0.47684,0.5225,0.2225,1.95665,1.78762,1.52221,0.004753,0.004753,0.004753
55,41636.3,1.8641,1.67524,1.37586,0.60794,0.44477,0.46852,0.20371,1.95443,1.83986,1.49617,0.004654,0.004654,0.004654
56,42380,1.85308,1.6155,1.38112,0.66228,0.47384,0.5296,0.24273,1.91279,1.75262,1.48808,0.004555,0.004555,0.004555
57,43114.3,1.84905,1.64434,1.38054,0.7455,0.47384,0.56592,0.25148,1.90615,1.70601,1.49033,0.004456,0.004456,0.004456
58,43843.4,1.8405,1.61897,1.39051,0.62444,0.38372,0.45722,0.20141,1.96124,1.98736,1.51467,0.004357,0.004357,0.004357
59,44573.5,1.80816,1.59915,1.38172,0.62231,0.49709,0.54283,0.241,1.94623,1.67802,1.51004,0.004258,0.004258,0.004258
